Data;Região;Tipologia;Nº Utentes;ID
2020-01-27;LISBOA E VALE DO TEJO;RAMo;12;2020-01-27T00:00:00/LISBOA E VALE DO TEJO/RAMo
2020-01-27;NORTE;ECCI;173;2020-01-27T00:00:00/NORTE/ECCI
2020-01-27;NORTE;UMDR;164;2020-01-27T00:00:00/NORTE/UMDR
2020-01-27;ALENTEJO;UC;53;2020-01-27T00:00:00/ALENTEJO/UC
2020-01-27;ALENTEJO;UCP;6;2020-01-27T00:00:00/ALENTEJO/UCP
2020-01-27;CENTRO;RAMo;2;2020-01-27T00:00:00/CENTRO/RAMo
2020-01-27;CENTRO;UMDR;93;2020-01-27T00:00:00/CENTRO/UMDR
2020-01-27;LISBOA E VALE DO TEJO;RAMa;14;2020-01-27T00:00:00/LISBOA E VALE DO TEJO/RAMa
2020-01-27;LISBOA E VALE DO TEJO;UC;107;2020-01-27T00:00:00/LISBOA E VALE DO TEJO/UC
2020-01-27;NORTE;UCP;13;2020-01-27T00:00:00/NORTE/UCP
2020-01-27;ALGARVE;ECCI;2;2020-01-27T00:00:00/ALGARVE/ECCI
2020-01-27;ALGARVE;ULDM;36;2020-01-27T00:00:00/ALGARVE/ULDM
2020-01-27;CENTRO;ECCI;44;2020-01-27T00:00:00/CENTRO/ECCI
2020-01-27;CENTRO;ULDM;277;2020-01-27T00:00:00/CENTRO/ULDM
2020-01-27;LISBOA E VALE DO TEJO;RA;2;2020-01-27T00:00:00/LISBOA E VALE DO TEJO/RA
2020-01-27;LISBOA E VALE DO TEJO;UCP;23;2020-01-27T00:00:00/LISBOA E VALE DO TEJO/UCP
2020-01-27;ALENTEJO;RAMo;4;2020-01-27T00:00:00/ALENTEJO/RAMo
2020-01-27;LISBOA E VALE DO TEJO;ECCI;15;2020-01-27T00:00:00/LISBOA E VALE DO TEJO/ECCI
2020-01-27;LISBOA E VALE DO TEJO;UMDR;191;2020-01-27T00:00:00/LISBOA E VALE DO TEJO/UMDR
2020-01-27;NORTE;RAMa;20;2020-01-27T00:00:00/NORTE/RAMa
2020-01-27;NORTE;UC;22;2020-01-27T00:00:00/NORTE/UC
2020-01-27;NORTE;ULDM;112;2020-01-27T00:00:00/NORTE/ULDM
2020-01-27;ALENTEJO;ECCI;13;2020-01-27T00:00:00/ALENTEJO/ECCI
2020-01-27;ALGARVE;UC;13;2020-01-27T00:00:00/ALGARVE/UC
2020-01-27;LISBOA E VALE DO TEJO;RTA;4;2020-01-27T00:00:00/LISBOA E VALE DO TEJO/RTA
2020-01-27;LISBOA E VALE DO TEJO;ULDM;265;2020-01-27T00:00:00/LISBOA E VALE DO TEJO/ULDM
2020-01-26;LISBOA E VALE DO TEJO;RA;2;2020-01-26T00:00:00/LISBOA E VALE DO TEJO/RA
2020-01-26;LISBOA E VALE DO TEJO;RAMa;14;2020-01-26T00:00:00/LISBOA E VALE DO TEJO/RAMa
2020-01-26;LISBOA E VALE DO TEJO;RAMo;12;2020-01-26T00:00:00/LISBOA E VALE DO TEJO/RAMo
2020-01-26;LISBOA E VALE DO TEJO;UMDR;189;2020-01-26T00:00:00/LISBOA E VALE DO TEJO/UMDR
2020-01-26;NORTE;ECCI;176;2020-01-26T00:00:00/NORTE/ECCI
2020-01-26;NORTE;UC;27;2020-01-26T00:00:00/NORTE/UC
2020-01-26;NORTE;UCP;17;2020-01-26T00:00:00/NORTE/UCP
2020-01-26;ALENTEJO;ULDM;83;2020-01-26T00:00:00/ALENTEJO/ULDM
2020-01-26;ALGARVE;ECCI;1;2020-01-26T00:00:00/ALGARVE/ECCI
2020-01-26;CENTRO;ECCI;44;2020-01-26T00:00:00/CENTRO/ECCI
2020-01-26;CENTRO;RAMo;2;2020-01-26T00:00:00/CENTRO/RAMo
2020-01-26;CENTRO;UC;56;2020-01-26T00:00:00/CENTRO/UC
2020-01-26;LISBOA E VALE DO TEJO;RTA;4;2020-01-26T00:00:00/LISBOA E VALE DO TEJO/RTA
2020-01-26;LISBOA E VALE DO TEJO;UCP;28;2020-01-26T00:00:00/LISBOA E VALE DO TEJO/UCP
2020-01-26;NORTE;UMDR;168;2020-01-26T00:00:00/NORTE/UMDR
2020-01-26;ALENTEJO;RAMo;4;2020-01-26T00:00:00/ALENTEJO/RAMo
2020-01-26;ALENTEJO;UC;59;2020-01-26T00:00:00/ALENTEJO/UC
2020-01-26;ALENTEJO;UMDR;21;2020-01-26T00:00:00/ALENTEJO/UMDR
2020-01-26;NORTE;RAMa;20;2020-01-26T00:00:00/NORTE/RAMa
2020-01-26;NORTE;ULDM;118;2020-01-26T00:00:00/NORTE/ULDM
2020-01-26;ALENTEJO;ECCI;13;2020-01-26T00:00:00/ALENTEJO/ECCI
2020-01-26;ALENTEJO;UCP;8;2020-01-26T00:00:00/ALENTEJO/UCP
2020-01-26;ALGARVE;UC;11;2020-01-26T00:00:00/ALGARVE/UC
2020-01-26;ALGARVE;ULDM;38;2020-01-26T00:00:00/ALGARVE/ULDM
2020-01-26;CENTRO;ULDM;269;2020-01-26T00:00:00/CENTRO/ULDM
2020-01-26;CENTRO;UMDR;84;2020-01-26T00:00:00/CENTRO/UMDR
2020-01-26;ALGARVE;UMDR;9;2020-01-26T00:00:00/ALGARVE/UMDR
2020-01-26;LISBOA E VALE DO TEJO;ECCI;15;2020-01-26T00:00:00/LISBOA E VALE DO TEJO/ECCI
2020-01-26;LISBOA E VALE DO TEJO;UC;113;2020-01-26T00:00:00/LISBOA E VALE DO TEJO/UC
2020-01-26;LISBOA E VALE DO TEJO;ULDM;273;2020-01-26T00:00:00/LISBOA E VALE DO TEJO/ULDM
2020-01-25;ALENTEJO;ECCI;13;2020-01-25T00:00:00/ALENTEJO/ECCI
2020-01-25;ALGARVE;UMDR;9;2020-01-25T00:00:00/ALGARVE/UMDR
2020-01-25;CENTRO;UMDR;84;2020-01-25T00:00:00/CENTRO/UMDR
2020-01-25;LISBOA E VALE DO TEJO;ECCI;15;2020-01-25T00:00:00/LISBOA E VALE DO TEJO/ECCI
2020-01-25;LISBOA E VALE DO TEJO;RTA;4;2020-01-25T00:00:00/LISBOA E VALE DO TEJO/RTA
2020-01-25;LISBOA E VALE DO TEJO;UMDR;189;2020-01-25T00:00:00/LISBOA E VALE DO TEJO/UMDR
2020-01-25;NORTE;RAMa;20;2020-01-25T00:00:00/NORTE/RAMa
2020-01-25;NORTE;UC;27;2020-01-25T00:00:00/NORTE/UC
2020-01-25;NORTE;ULDM;118;2020-01-25T00:00:00/NORTE/ULDM
2020-01-25;ALENTEJO;ULDM;83;2020-01-25T00:00:00/ALENTEJO/ULDM
2020-01-25;ALGARVE;ECCI;1;2020-01-25T00:00:00/ALGARVE/ECCI
2020-01-25;LISBOA E VALE DO TEJO;RAMa;14;2020-01-25T00:00:00/LISBOA E VALE DO TEJO/RAMa
2020-01-25;LISBOA E VALE DO TEJO;UCP;28;2020-01-25T00:00:00/LISBOA E VALE DO TEJO/UCP
2020-01-25;NORTE;UCP;17;2020-01-25T00:00:00/NORTE/UCP
2020-01-25;CENTRO;ECCI;43;2020-01-25T00:00:00/CENTRO/ECCI
2020-01-25;CENTRO;RAMo;2;2020-01-25T00:00:00/CENTRO/RAMo
2020-01-25;CENTRO;UC;55;2020-01-25T00:00:00/CENTRO/UC
2020-01-25;LISBOA E VALE DO TEJO;RAMo;12;2020-01-25T00:00:00/LISBOA E VALE DO TEJO/RAMo
2020-01-25;ALENTEJO;UC;59;2020-01-25T00:00:00/ALENTEJO/UC
2020-01-25;ALENTEJO;UCP;8;2020-01-25T00:00:00/ALENTEJO/UCP
2020-01-25;ALENTEJO;UMDR;21;2020-01-25T00:00:00/ALENTEJO/UMDR
2020-01-25;ALGARVE;UC;11;2020-01-25T00:00:00/ALGARVE/UC
2020-01-25;CENTRO;ULDM;269;2020-01-25T00:00:00/CENTRO/ULDM
2020-01-25;NORTE;ECCI;176;2020-01-25T00:00:00/NORTE/ECCI
2020-01-25;ALENTEJO;RAMo;4;2020-01-25T00:00:00/ALENTEJO/RAMo
2020-01-25;ALGARVE;ULDM;38;2020-01-25T00:00:00/ALGARVE/ULDM
2020-01-25;LISBOA E VALE DO TEJO;RA;2;2020-01-25T00:00:00/LISBOA E VALE DO TEJO/RA
2020-01-25;LISBOA E VALE DO TEJO;UC;113;2020-01-25T00:00:00/LISBOA E VALE DO TEJO/UC
2020-01-25;LISBOA E VALE DO TEJO;ULDM;273;2020-01-25T00:00:00/LISBOA E VALE DO TEJO/ULDM
2020-01-25;NORTE;UMDR;168;2020-01-25T00:00:00/NORTE/UMDR
2020-01-24;ALENTEJO;RAMo;4;2020-01-24T00:00:00/ALENTEJO/RAMo
2020-01-24;ALENTEJO;ULDM;83;2020-01-24T00:00:00/ALENTEJO/ULDM
2020-01-24;ALGARVE;ECCI;1;2020-01-24T00:00:00/ALGARVE/ECCI
2020-01-24;CENTRO;ECCI;43;2020-01-24T00:00:00/CENTRO/ECCI
2020-01-24;CENTRO;UC;54;2020-01-24T00:00:00/CENTRO/UC
2020-01-24;LISBOA E VALE DO TEJO;RTA;4;2020-01-24T00:00:00/LISBOA E VALE DO TEJO/RTA
2020-01-24;LISBOA E VALE DO TEJO;UMDR;189;2020-01-24T00:00:00/LISBOA E VALE DO TEJO/UMDR
2020-01-24;NORTE;ECCI;176;2020-01-24T00:00:00/NORTE/ECCI
2020-01-24;ALGARVE;ULDM;38;2020-01-24T00:00:00/ALGARVE/ULDM
2020-01-24;ALGARVE;UMDR;9;2020-01-24T00:00:00/ALGARVE/UMDR
2020-01-24;CENTRO;UMDR;84;2020-01-24T00:00:00/CENTRO/UMDR
2020-01-24;LISBOA E VALE DO TEJO;ECCI;15;2020-01-24T00:00:00/LISBOA E VALE DO TEJO/ECCI
2020-01-24;LISBOA E VALE DO TEJO;RAMo;12;2020-01-24T00:00:00/LISBOA E VALE DO TEJO/RAMo
2020-01-24;NORTE;ULDM;118;2020-01-24T00:00:00/NORTE/ULDM
2020-01-24;NORTE;UMDR;168;2020-01-24T00:00:00/NORTE/UMDR
